Country,Country_Code,Year,Percentile,Indicator,Value
India,IN,2007,p0p50,sptinc,0.1746
India,IN,2007,p0p50,shweal,0.0614
India,IN,2007,pall,anweal,22576.852
India,IN,2007,pall,wnweal,4.4592
India,IN,2008,p0p100,spllin,0.1568
India,IN,2008,p0p50,sptinc,0.1699
India,IN,2008,p0p50,shweal,0.0633
India,IN,2008,pall,anweal,24553.522
India,IN,2008,pall,wnweal,4.7426
India,IN,2009,p0p100,spllin,0.1568
India,IN,2009,p0p50,sptinc,0.165
India,IN,2009,p0p50,shweal,0.0658
India,IN,2009,pall,anweal,26117.4291
India,IN,2009,pall,wnweal,4.877000000000001
India,IN,2010,p0p100,spllin,0.1533
India,IN,2010,p0p50,sptinc,0.1601
India,IN,2010,p0p50,shweal,0.063
India,IN,2010,pall,anweal,27429.5991
India,IN,2010,pall,wnweal,4.8585
India,IN,2011,p0p100,spllin,0.1556
India,IN,2011,p0p50,sptinc,0.1535
India,IN,2011,p0p50,shweal,0.0615
India,IN,2011,pall,anweal,29361.0063
India,IN,2011,pall,wnweal,4.9932
India,IN,2012,p0p100,spllin,0.1577
India,IN,2012,p0p50,sptinc,0.1506
India,IN,2012,p0p50,shweal,0.0639
India,IN,2012,pall,anweal,31548.5523
India,IN,2012,pall,wnweal,5.2348
India,IN,2013,p0p100,spllin,0.15989999
India,IN,2013,p0p50,sptinc,0.1498
India,IN,2013,p0p50,shweal,0.0636
India,IN,2013,pall,anweal,33309.8374
India,IN,2013,pall,wnweal,5.3682
India,IN,2014,p0p100,spllin,0.16249999
India,IN,2014,p0p50,sptinc,0.1469
India,IN,2014,p0p50,shweal,0.0642
India,IN,2014,pall,anweal,35283.0029
India,IN,2014,pall,wnweal,5.4725
India,IN,2015,p0p100,spllin,0.1654
India,IN,2015,p0p50,sptinc,0.1452
India,IN,2015,p0p50,shweal,0.0616
India,IN,2015,pall,anweal,37868.6924
India,IN,2015,pall,wnweal,5.5243
India,IN,2016,p0p100,spllin,0.16859999
India,IN,2016,p0p50,sptinc,0.1407
India,IN,2016,p0p50,shweal,0.0622
India,IN,2016,pall,anweal,40049.444
India,IN,2016,pall,wnweal,5.496700000000001
India,IN,2017,p0p100,spllin,0.17200001
India,IN,2017,p0p50,sptinc,0.139
India,IN,2017,p0p50,shweal,0.0613
India,IN,2017,pall,anweal,41823.6743
India,IN,2017,pall,wnweal,5.4808
India,IN,2018,p0p100,spllin,0.1754
India,IN,2018,p0p50,sptinc,0.1442
India,IN,2018,p0p50,shweal,0.0671
India,IN,2018,pall,anweal,43496.1078
India,IN,2018,pall,wnweal,5.4222
India,IN,2019,p0p100,spllin,0.17990001
India,IN,2019,p0p50,sptinc,0.147
India,IN,2019,p0p50,shweal,0.068
India,IN,2019,pall,anweal,44629.3522
India,IN,2019,pall,wnweal,5.4503
India,IN,2020,p0p100,spllin,0.1848
India,IN,2020,p0p50,sptinc,0.1554
India,IN,2020,p0p50,shweal,0.0694
India,IN,2020,pall,anweal,43243.9156
India,IN,2020,pall,wnweal,5.6726
India,IN,2021,p0p100,spllin,0.19419999
India,IN,2021,p0p50,sptinc,0.1544
India,IN,2021,p0p50,shweal,0.0654
India,IN,2021,pall,anweal,39891.6723
India,IN,2021,pall,wnweal,5.0273
India,IN,2022,p0p100,spllin,0.19939999
India,IN,2022,p0p50,sptinc,0.1502
India,IN,2022,p0p50,shweal,0.0642
India,IN,2022,pall,anweal,42068.2106
India,IN,2022,pall,wnweal,5.0204
India,IN,2023,p0p100,spllin,0.19239999
India,IN,2023,p0p50,sptinc,0.1502
India,IN,2023,p0p50,shweal,0.0642
India,IN,2023,pall,anweal,44545.3802
India,IN,2023,pall,wnweal,5.0099
India,IN,2024,p0p100,spllin,0.19939999
India,IN,2024,p0p50,sptinc,0.1502
India,IN,2024,p0p50,shweal,0.0642
India,IN,2024,pall,anweal,46819.4242
India,IN,2024,pall,wnweal,5.0099
Nepal,NP,2000,p0p100,spllin,0.1517
Nepal,NP,2000,p0p50,sptinc,0.1745
Nepal,NP,2000,p0p50,shweal,0.0463
Nepal,NP,2000,pall,anweal,11863.6434
Nepal,NP,2000,pall,wnweal,3.6961
Nepal,NP,2001,p0p100,spllin,0.154
Nepal,NP,2001,p0p50,sptinc,0.1759
Nepal,NP,2001,p0p50,shweal,0.0464
Nepal,NP,2001,pall,anweal,12190.4378
Nepal,NP,2001,pall,wnweal,3.7581
Nepal,NP,2002,p0p100,spllin,0.1564
Nepal,NP,2002,p0p50,sptinc,0.1751
Nepal,NP,2002,p0p50,shweal,0.0465
Nepal,NP,2002,pall,anweal,12433.458
Nepal,NP,2002,pall,wnweal,3.8087
Nepal,NP,2003,p0p100,spllin,0.15899999
Nepal,NP,2003,p0p50,sptinc,0.1732
Nepal,NP,2003,p0p50,shweal,0.0465
Nepal,NP,2003,pall,anweal,13448.6904
Nepal,NP,2003,pall,wnweal,3.9845
Nepal,NP,2004,p0p100,spllin,0.1618
Nepal,NP,2004,p0p50,sptinc,0.1744
Nepal,NP,2004,p0p50,shweal,0.0467
Nepal,NP,2004,pall,anweal,14039.5095
Nepal,NP,2004,pall,wnweal,4.0229
Nepal,NP,2005,p0p100,spllin,0.16509999
Nepal,NP,2005,p0p50,sptinc,0.1747
Nepal,NP,2005,p0p50,shweal,0.0468
Nepal,NP,2005,pall,anweal,15265.4219
Nepal,NP,2005,pall,wnweal,4.222
Nepal,NP,2006,p0p100,spllin,0.1689
Nepal,NP,2006,p0p50,sptinc,0.1741
Nepal,NP,2006,p0p50,shweal,0.0468
Nepal,NP,2006,pall,anweal,16138.318
Nepal,NP,2006,pall,wnweal,4.328
Nepal,NP,2007,p0p100,spllin,0.17309999
Nepal,NP,2007,p0p50,sptinc,0.1728
Nepal,NP,2007,p0p50,shweal,0.0468
Nepal,NP,2007,pall,anweal,17393.6404
Nepal,NP,2007,pall,wnweal,4.4493
Nepal,NP,2008,p0p100,spllin,0.1778
Nepal,NP,2008,p0p50,sptinc,0.1782
Nepal,NP,2008,p0p50,shweal,0.0473
Nepal,NP,2008,pall,anweal,18034.8055
Nepal,NP,2008,pall,wnweal,4.3968
Nepal,NP,2009,p0p100,spllin,0.1822
Nepal,NP,2009,p0p50,sptinc,0.1799
Nepal,NP,2009,p0p50,shweal,0.0474
Nepal,NP,2009,pall,anweal,19037.3178
Nepal,NP,2009,pall,wnweal,4.4579
Nepal,NP,2010,p0p100,spllin,0.1865
Nepal,NP,2010,p0p50,sptinc,0.1768
Nepal,NP,2010,p0p50,shweal,0.0473
Nepal,NP,2010,pall,anweal,19256.8709
Nepal,NP,2010,pall,wnweal,4.380500000000001
Nepal,NP,2011,p0p100,spllin,0.1909
Nepal,NP,2011,p0p50,sptinc,0.1793
Nepal,NP,2011,p0p50,shweal,0.0474
Nepal,NP,2011,pall,anweal,19685.0727
Nepal,NP,2011,pall,wnweal,4.3243
Nepal,NP,2012,p0p100,spllin,0.1953
Nepal,NP,2012,p0p50,sptinc,0.1798
Nepal,NP,2012,p0p50,shweal,0.0475
Nepal,NP,2012,pall,anweal,19911.6467
Nepal,NP,2012,pall,wnweal,4.2454
Nepal,NP,2013,p0p100,spllin,0.1997
Nepal,NP,2013,p0p50,sptinc,0.1806
Nepal,NP,2013,p0p50,shweal,0.0469
Nepal,NP,2013,pall,anweal,21480.0098
Nepal,NP,2013,pall,wnweal,4.388
Nepal,NP,2014,p0p100,spllin,0.2041
Nepal,NP,2014,p0p50,sptinc,0.1823
Nepal,NP,2014,p0p50,shweal,0.0469
Nepal,NP,2014,pall,anweal,21954.515
